Job Field,Job Title,Job Description,Key Responsibilities,Required Skills & Qualifications
Fine Art,Printmaker,"Creates original art by transferring images from a matrix (like a woodblock, metal plate, or stone) onto another surface, such as paper, allowing for multiple originals.","• Design images for print processes (e.g., etching, lithography, screenprinting).<br>• Prepare plates or screens using chemicals or carving tools.<br>• Operate a printing press to pull impressions.<br>• Manage editions of prints and maintain studio equipment.",• Mastery of one or more printmaking techniques.<br>• Precision and attention to detail.<br>• Knowledge of chemical safety.<br>• BFA or MFA in Printmaking.
Fine Art,Portrait Artist,A specialized artist who creates representations of a person or animal. Works directly with clients (sitters) to capture their likeness and personality.,• Consult with clients to determine the desired style and medium.<br>• Capture a subject's likeness through live sittings or reference photos.<br>• Utilize drawing or painting skills to render features and expression.<br>• Manage commissions and client expectations.,"• Exceptional drawing and painting skills, especially in realism.<br>• Strong understanding of human anatomy.<br>• Interpersonal skills to work with sitters.<br>• Portfolio of portrait work."
Fine Art,Muralist,"An artist who designs and paints large-scale artworks directly onto walls, ceilings, or other large permanent surfaces, often for public art or private commissions.","• Design large-scale compositions that fit the architecture.<br>• Pitch designs to clients or public art committees.<br>• Operate lifts, projectors, and scaffolding.<br>• Paint in various conditions using durable materials (e.g., aerosol, silicate paint).",• Ability to work at a large scale.<br>• Physical stamina and comfort with heights.<br>• Strong design and drawing skills.<br>• Experience with large-scale projects (portfolio required).
Fine Art,Studio Assistant,"Provides technical and administrative support to an established professional artist (painter, sculptor, etc.), helping with the production of art and management of the studio.","• Prepare art materials (mix paint, stretch canvas, prep clay).<br>• Assist with art fabrication, sanding, or finishing.<br>• Manage studio organization, inventory, and supply ordering.<br>• Handle crating, shipping, and administrative tasks.",• Practical knowledge of art materials.<br>• Strong organizational skills.<br>• Reliability and ability to follow directions.<br>• BFA degree often preferred.
Design (Commercial),Graphic Designer,"Creates visual concepts using computer software or by hand, to communicate ideas that inspire, inform, or captivate consumers. They create logos, websites, ads, and brochures.","• Design logos, brand identities, and marketing layouts.<br>• Use typography and illustration to meet a client's brief.<br>• Adapt designs for different formats (print, digital, social media).<br>• Prepare final design files for print or web production.","• Proficiency in Adobe Creative Suite (Illustrator, Photoshop, InDesign).<br>• Strong knowledge of typography, color theory, and layout.<br>• A professional portfolio is mandatory."
Design (Commercial),Art Director,"Responsible for the overall visual style and images in magazines, newspapers, product packaging, and movie/television productions. They unify the vision and lead other designers.","• Develop the overarching visual concept for a campaign.<br>• Lead and direct a team of graphic designers, photographers, and illustrators.<br>• Pitch visual concepts to clients or executive stakeholders.<br>• Ensure all visual assets adhere to a unified brand style.","• Senior-level design expertise.<br>• Strong leadership, communication, and presentation skills.<br>• A portfolio demonstrating conceptual leadership.<br>• 5+ years experience as a senior designer."
Design (Commercial),Creative Director,"The highest-level creative role. They manage the entire creative department, develop the high-level strategic vision, and are responsible for the final quality of all creative work.",• Lead the overarching creative strategy for a brand or agency.<br>• Manage and mentor Art Directors and senior creatives.<br>• Drive the creative vision for major multi-channel campaigns.<br>• Act as the primary creative voice to clients and C-suite executives.,"• 10+ years of experience in design/advertising.<br>• Exceptional leadership and strategic thinking.<br>• Proven track record of successful, high-impact campaigns.<br>• Masterful presentation and persuasion skills."
Design (Commercial),Industrial Designer,"Designs the concepts and specifications for manufactured products (e.g., cars, electronics, furniture), focusing on their function, usability, ergonomics, and appearance.","• Research how consumers use a product.<br>• Sketch, model, and create 3D prototypes of new product concepts.<br>• Balance aesthetics, engineering requirements, and manufacturing cost.<br>• Use CAD software to create precise technical specifications.","• CAD software (Rhino, SolidWorks), 3D modeling.<br>• Understanding of ergonomics and manufacturing processes.<br>• Creativity and problem-solving.<br>• Portfolio of product designs."
Design (Commercial),Interior Designer,"Plans and designs functional and aesthetically pleasing interior spaces for residential, commercial, or public settings. This is a technical role involving codes and space planning.","• Consult with clients to determine project scope and style.<br>• Create detailed floor plans, mood boards, and 3D renderings.<br>• Select all finishes, furniture, lighting, and materials.<br>• Ensure designs comply with building codes and accessibility standards (ADA).<br>• Manage project execution, coordinating with contractors.","• Space planning, CAD software (AutoCAD, Revit).<br>• Knowledge of building codes, materials, and furniture.<br>• Project management skills.<br>• Degree in Interior Design; professional license (NCIDQ) often required."
Design (Commercial),Packaging Designer,"A specialized graphic designer who focuses on creating the visual identity, branding, and physical container for a product, focusing on marketing appeal and functionality.","• Design the graphics, typography, and layout for product labels and boxes.<br>• Consider the 3D form and ""shelf appeal"" of a product.<br>• Create mockups and prototypes for client approval.<br>• Ensure designs comply with all legal labeling requirements.","• Expertise in Adobe Illustrator/Photoshop.<br>• Understanding of 3D form, branding, and marketing.<br>• Knowledge of print production and materials.<br>• Portfolio of packaging projects."
Design (Commercial),Exhibition Designer,"Designs and creates the layout, displays, and narrative flow for temporary or permanent exhibitions in museums, galleries, trade shows, or visitor centers.","• Translate curatorial concepts into a 3D spatial experience.<br>• Design the exhibit layout, traffic flow, and interactive displays.<br>• Create 3D models and renderings of the exhibit space.<br>• Collaborate with curators, fabricators, and lighting designers.","• Spatial awareness and interior design skills.<br>• Proficiency in 3D modeling (SketchUp, Vectorworks).<br>• Knowledge of materials, lighting, and fabrication.<br>• Degree in Exhibition Design or a related field."
Design (Digital),UX Designer (User Experience),"Focuses on the overall feel of a digital product. They are responsible for making a website or app functional, intuitive, and enjoyable for the user to interact with.","• Conduct user research and create user personas.<br>• Create user flow diagrams, journey maps, and wireframes.<br>• Build low-fidelity prototypes for usability testing.<br>• Analyze user feedback to identify and fix pain points.","• Wireframing (Figma, Sketch), prototyping.<br>• User research methods.<br>• Empathy and analytical thinking.<br>• Portfolio of UX case studies."
Design (Digital),UI Designer (User Interface),"A specialized graphic designer for digital products. They focus on the visual look and feel—the ""skin""—of a website or app, including buttons, icons, typography, and color schemes.","• Design high-fidelity, pixel-perfect mockups of all app/web screens.<br>• Create comprehensive design systems and component libraries.<br>• Ensure brand identity is translated consistently into the digital product.<br>• Hand off precise visual specs to the development team.","• Expertise in UI tools (Figma, Sketch).<br>• Strong grasp of typography, color, and layout.<br>• Attention to pixel-perfect detail.<br>• Portfolio of visual design projects."
Design (Digital),UX Researcher,"A specialist who uses qualitative and quantitative methods to understand user behaviors, needs, and motivations, providing actionable insights to the design and product teams.","• Plan and conduct usability tests, user interviews, and surveys.<br>• Analyze quantitative data and qualitative feedback to find patterns.<br>• Create personas and journey maps based on data.<br>• Present research findings and recommendations to stakeholders.","• Qualitative and quantitative research methods.<br>• Data analysis and synthesis.<br>• Empathy and strong communication skills.<br>• Degree in Psychology, HCI, or related field."
Design (Digital),Motion Graphics Designer,"Creates animated graphics, text, and visual effects for videos, commercials, websites, and presentations. They bring static designs to life.","• Design and animate graphic elements, logos, and titles.<br>• Create data visualizations and explainer video animations.<br>• Composite visual effects into live-action footage.<br>• Work closely with video editors and art directors.","• Expertise in Adobe After Effects and Illustrator.<br>• Strong understanding of animation principles, timing, and typography.<br>• A professional demo reel is mandatory."
Fashion & Apparel,Fashion Designer,"The creative visionary who designs new collections of clothing, footwear, and accessories. They research trends, sketch designs, and select fabrics.","• Research and forecast fashion trends, themes, and color palettes.<br>• Sketch new designs (by hand or with software).<br>• Select fabrics, trims, and materials for a collection.<br>• Oversee the creation of prototype garments (samples).","• Creativity and strong drawing skills.<br>• Knowledge of garment construction, textiles, and fashion history.<br>• A professional portfolio is essential.<br>• Bachelor's in Fashion Design."
Fashion & Apparel,Technical Designer,"The ""engineer"" of fashion. They translate a designer's creative sketch into a technical blueprint (""tech pack"") that a factory can use for precise manufacturing.","• Create detailed technical specification packets (""tech packs"").<br>• Lead fit sessions on models to assess garment fit and function.<br>• Communicate precise fit corrections (e.g., ""raise armhole 1/4 inch"") to factories.<br>• Ensure sizing and fit consistency (grading) across all products.",• Expert knowledge of garment construction and patternmaking.<br>• Extreme attention to detail.<br>• Adobe Illustrator.<br>• Strong communication and problem-solving skills.
Fashion & Apparel,Pattern Maker,"A highly skilled artisan who drafts the 2D ""pattern pieces"" of a garment based on a designer's sketch. This pattern is the template used to cut the fabric.","• Draft original patterns (by hand, draping on a mannequin, or using CAD software).<br>• Create all pattern pieces needed to construct the garment.<br>• Adjust patterns based on feedback from fit sessions.<br>• ""Grade"" the pattern (scale it) to create all sizes (S, M, L).","• Mastery of pattern drafting techniques (flat pattern, draping).<br>• Expert knowledge of geometry and human anatomy.<br>• CAD software (Gerber, Lectra) or expert hand-drafting skills."
Fashion & Apparel,Textile Designer,"An artist who designs the prints, weaves, and knit patterns that appear on fabric. They work in fashion, home goods, and other industries.","• Design original 2D repeating patterns for fabrics.<br>• Create print designs using digital software (Photoshop, Illustrator) or traditional art.<br>• Develop new fabric textures through weave or knit structures.<br>• Work with textile mills to ensure proper color and production.","• High creativity and artistic skill (drawing, painting).<br>• Mastery of pattern repeats.<br>• Strong understanding of color theory.<br>• BFA or Textile Design degree."
Fashion & Apparel,Apparel Buyer (Merchant),"Works for a retail company and is responsible for selecting, planning, and purchasing the mix of apparel products that will be sold in stores.","• Analyze sales data and fashion trends to forecast customer demand.<br>• Select specific products and brands to sell for the upcoming season.<br>• Negotiate pricing, delivery, and quantities with apparel vendors.<br>• Manage the inventory budget (Open-to-Buy) to ensure profitability.",• Strong analytical and quantitative skills (advanced Excel).<br>• Trend forecasting ability.<br>• Negotiation and financial acumen.<br>• Bachelor's in Fashion Merchandising or Business.
Fashion & Apparel,Visual Merchandiser,"Designs and implements the visual displays within a retail store, including window displays, in-store layouts, and mannequins, to create an engaging environment that drives sales.",• Design and execute compelling window displays based on seasonal themes.<br>• Plan the store layout and product adjacencies.<br>• Style mannequins and create in-store displays per brand guidelines.<br>• Analyze sales data to determine the effectiveness of displays.,• Creativity and strong styling skills.<br>• Spatial awareness and interior design knowledge.<br>• Understanding of retail analytics and consumer behavior.<br>• Degree in Visual Merchandising or Fashion.
Fashion & Apparel,Fashion Stylist,"Selects the clothing and accessories for published editorial features, print or television advertising campaigns, music videos, concert performances, and public appearances made by celebrities.","• Consult with clients (celebrities, brands, magazines) on their image.<br>• Source clothing and accessories from brands and PR showrooms.<br>• Assemble and style complete outfits for photo shoots or events.<br>• Manage all garments and build relationships with designers.","• Strong knowledge of fashion history and current trends.<br>• Exceptional networking and relationship-building skills.<br>• Strong personal sense of style.<br>• Portfolio of work (e.g., editorial spreads)."
Fashion & Apparel,Fit Model,"A person who works with a fashion brand's technical design team to test the fit, drape, and movement of prototype garments, acting as a live mannequin with the brand's exact sample-size measurements.","• Try on prototype garments during ""fit sessions.""<br>• Stand, walk, and move as directed by the technical designer.<br>• Provide verbal feedback on the garment's comfort and feel.<br>• Must precisely maintain specific body measurements.","• Specific, consistent body measurements that match the brand's sample size.<br>• Professionalism and patience.<br>• Ability to provide clear, objective feedback on garment feel."
Fashion & Apparel,Fashion Illustrator,"A specialized artist who creates stylized, elegant drawings of fashion designs or products, often used in editorial spreads, advertising, or as concept art by designers.","• Draw, sketch, or paint fashion figures and garments.<br>• Work with designers to visually communicate their concepts.<br>• Create artwork for magazine editorials, ad campaigns, or websites.<br>• Adapt their artistic style to fit the brand's image.","• Exceptional drawing and artistic skills.<br>• A unique, recognizable artistic style.<br>• Knowledge of human anatomy and garment drape.<br>• Portfolio of illustrations."
Fashion & Apparel,Trend Forecaster,"A research professional who analyzes cultural shifts, market data, and runway shows to predict future trends in color, fabric, silhouette, and style for the fashion industry.","• Research and analyze social, economic, and cultural data.<br>• Attend fashion shows, trade shows, and art exhibitions.<br>• Synthesize research into comprehensive trend reports and presentations.<br>• Advise design and buying teams on future product development.","• Strong analytical and research skills.<br>• Intuitive and forward-thinking mindset.<br>• Excellent presentation and communication skills.<br>• Degree in Fashion, Marketing, or Sociology."
Performing Arts (Theatre),Actor,"Uses speech, movement, and expression to portray a character in a theatrical production, film, or television show.","• Audition for roles by performing monologues or reading scripts.<br>• Memorize lines, blocking (movements), and choreography.<br>• Research and interpret a character to develop an authentic portrayal.<br>• Rehearse and perform consistently under the guidance of a director.","• Performance skills (vocal, physical).<br>• Memorization ability.<br>• Resilience and ability to handle rejection.<br>• BFA or MFA in Acting or extensive training; a ""headshot"" and resume are required."
Performing Arts (Theatre),Theatre Director,"The primary creative leader of a theatrical production. They are responsible for unifying all elements (acting, design, text) to create a cohesive artistic vision.","• Select or be assigned a script (play or musical).<br>• Develop the central artistic concept or ""vision"" for the production.<br>• Cast the actors and lead all rehearsals.<br>• Collaborate with designers (set, light, sound, costume) to ensure a unified production.",• Strong leadership and communication skills.<br>• Deep knowledge of dramatic text and theatre history.<br>• Ability to collaborate and synthesize ideas.<br>• Directing portfolio; MFA in Directing is common.
Performing Arts (Theatre),Stage Manager,"The primary organizational and communications hub of a production. They manage scheduling, run rehearsals, and are responsible for ""calling"" all technical cues (lights, sound) during the live performance.","• Create and manage the rehearsal schedule.<br>• Document all actor blocking and technical cues in a prompt book.<br>• Act as the primary liaison between the director, designers, and actors.<br>• ""Call"" the show by giving cues to light and sound board operators.",• Extreme organization and attention to detail.<br>• Ability to stay calm under pressure.<br>• Strong communication and leadership skills.<br>• Certification or degree in Stage Management.
Performing Arts (Theatre),Lighting Designer,"Designs the lighting for a production. This involves selecting instruments, positioning, and color, and creating a ""light plot"" to create atmosphere, mood, and focus.","• Read the script and collaborate with the director on the lighting concept.<br>• Design a detailed light plot specifying instrument type and location.<br>• Attend rehearsals and write lighting cues (dimming, timing, movement).<br>• Supervise the master electrician during programming and focus.",• Deep knowledge of lighting technology and instruments.<br>• Understanding of color theory and mood.<br>• Software for drafting (Vectorworks) and console operation.<br>• Portfolio of design work.
Performing Arts (Theatre),Sound Designer,"Responsible for all audio aspects of a production, including ambient soundscapes, pre-show music, sound effects (e.g., a doorbell, thunder), and microphone systems.",• Read the script and collaborate with the director on the audio concept.<br>• Source or create all required sound effects and background music.<br>• Design the speaker plot and microphone system for the theatre.<br>• Program sound cues into software (like QLab) for the operator.,"• Expertise in audio editing (Pro Tools, Logic) and playback software (QLab).<br>• Knowledge of acoustics, microphones, and speakers.<br>• A ""good ear"" and sense of timing."
Performing Arts (Theatre),Costume Designer,"Designs all clothing and accessories (costumes) worn by the actors in a production, helping to define the character, period, and style of the show.","• Analyze the script to determine costume requirements (period, style, character).<br>• Sketch costume designs (""renderings"") for each character.<br>• Source fabrics and materials; collaborate with the costume shop to build garments.<br>• Oversee costume fittings with actors.",• Strong knowledge of fashion history and garment construction.<br>• Excellent drawing/rendering skills.<br>• Creativity and research skills.<br>• Portfolio of designs; MFA in Costume Design common.
Performing Arts (Theatre),Props Master (Properties),"Responsible for acquiring, creating, and managing all ""props""—any object handled by an actor on stage, as well as set dressing (furniture).","• Read the script and create a detailed ""props list.""<br>• Source props by buying, renting, borrowing, or building them.<br>• Manage the props budget and workshop.<br>• Create a props ""run sheet"" for the stage crew to track props during the show.","• Wide range of craft skills (woodworking, upholstery, painting, sewing).<br>• Extreme resourcefulness and organization.<br>• Budget management skills."
Performing Arts (Theatre),Technical Director (TD),"Manages the technical operations of a theatre, primarily focusing on the build and installation of the scenery. They translate the Set Designer's drawings into a structural reality.","• Analyze the Set Designer's plans for feasibility and budget.<br>• Create technical draftings (construction plans) for the scene shop.<br>• Manage the scene shop budget, materials purchasing, and carpentry staff.<br>• Oversee the safe installation (""load-in"") of the set into the theatre.",• Expert knowledge of structural engineering and construction.<br>• Advanced carpentry and welding skills.<br>• Budget management and leadership skills.<br>• BFA or MFA in Technical Direction.
Performing Arts (Theatre),Playwright,"The artist who writes the script for a play, including the dialogue, stage directions, and dramatic structure.","• Conceive and write original dramatic texts.<br>• Create compelling characters, plot, and dialogue.<br>• Workshop new plays with directors and actors.<br>• Submit scripts to theatres, agents, and competitions.","• Exceptional writing ability, specifically in dialogue and dramatic structure.<br>• Creativity and persistence.<br>• Ability to accept and integrate feedback.<br>• MFA in Playwriting is common."
Performing Arts (Theatre),Dramaturg,"The in-house literary and research expert for a theatre or specific production. They provide context, research, and critical analysis to the director, actors, and audience.",• Conduct in-depth historical and literary research for a play.<br>• Assist the director in interpreting the script's themes and structure.<br>• Write program notes and lobby display materials for the audience.<br>• Help the theatre select its season of plays.,• Deep academic knowledge of theatre history and dramatic literature.<br>• Exceptional research and writing skills.<br>• Analytical and critical thinking skills.<br>• Master's or PhD in Theatre Studies or Dramaturgy.
Performing Arts (General),Choreographer,"Designs and directs the dance movements and routines in a production, whether for concert dance (ballet, modern), a musical, a music video, or a film.",• Conceive and create original dance sequences and movement vocabulary.<br>• Audition and cast dancers.<br>• Teach choreography to performers and lead dance rehearsals.<br>• Collaborate with the director and designers on the overall artistic vision.,"• Expert-level training in one or more dance techniques.<br>• Strong creative vision and teaching skills.<br>• Understanding of music, rhythm, and spatial relations.<br>• Professional dance and choreography experience."
Performing Arts (General),Dancer,"A performer who uses their body and movement to express ideas and stories, typically as part of a company (ballet, contemporary) or in a commercial production (musical, music video).",• Attend daily technique classes to maintain peak physical condition.<br>• Learn and rehearse choreography from a choreographer.<br>• Perform routines precisely and expressively.<br>• Audition regularly for new roles or productions.,"• Elite-level technical training in a specific dance style.<br>• Physical stamina, flexibility, and strength.<br>• Musicality, discipline, and resilience."
Performing Arts (General),Casting Director,"Manages the audition process for a film, TV, or theatre production. They work with the director to find the best actors for each role.","• Read the script and create ""character breakdowns"" (role descriptions).<br>• Schedule and run auditions, reviewing hundreds of actors.<br>• Recommend a shortlist of actors to the director and producers.<br>• Negotiate initial contracts and availability with agents.",• Deep knowledge of the acting talent pool.<br>• Strong intuition for talent and character.<br>• Organization and negotiation skills.<br>• Member of the Casting Society of America (CSA).
Performing Arts (Music),Musician (Orchestral),A highly trained instrumentalist who performs as part of a symphony orchestra. They must play their specific part perfectly in sync with a large ensemble.,"• Practice their instrument (e.g., violin, flute, trumpet) daily.<br>• Rehearse complex musical scores with the full orchestra.<br>• Follow the conductor's direction precisely regarding tempo, dynamics, and articulation.<br>• Perform in public concerts.",• Virtuosic mastery of a specific musical instrument.<br>• Exceptional sight-reading skills.<br>• Ability to play collaboratively within an ensemble.<br>• Bachelor's or Master's degree in Music Performance.
Performing Arts (Music),Conductor (Maestro),"The artistic leader of an orchestra or choir. They use physical gestures (conducting) to unify the ensemble, set the tempo, and shape the artistic interpretation of a musical work.","• Study musical scores in-depth to develop an artistic interpretation.<br>• Lead orchestra rehearsals, correcting timing, pitch, and dynamics.<br>• Conduct the ensemble during live performances.<br>• Often acts as the orchestra's Music Director, choosing the season's programming.","• Expert knowledge of music theory, history, and instrumentation.<br>• Expressive physical gesture and strong leadership skills.<br>• A ""good ear"" for pitch and harmony.<br>• Master's or Doctorate in Conducting."
Performing Arts (Music),Composer,"An artist who creates original music. This can include writing scores for orchestras, film/TV, video games, or writing songs for bands or theatrical musicals.","• Conceive and write original musical compositions (melody, harmony, rhythm).<br>• Notate music using software (like Sibelius or Finale) or by hand.<br>• Orchestrate music for specific instruments.<br>• Collaborate with directors, lyricists, or producers.","• Mastery of music theory, harmony, and orchestration.<br>• Proficiency with a primary instrument (usually piano).<br>• Creativity and discipline.<br>• Degree in Music Composition."
Performing Arts (Music),Music Producer,"Oversees the entire process of creating a song or album, acting as the creative project manager. They guide the artist's vision and manage the technical recording process.",• Collaborate with artists to shape the song's arrangement and instrumentation.<br>• Manage the studio recording budget and schedule.<br>• Coach the artist and musicians during recording sessions.<br>• Supervise the audio engineer during mixing and mastering.,"• Strong musical ""ear"" and understanding of song structure.<br>• Technical knowledge of studio recording.<br>• Project management and interpersonal skills.<br>• Expertise in a specific genre (pop, rock, hip-hop)."
Performing Arts (Music),Audio Engineer (Recording),"The technical specialist responsible for recording, mixing, and mastering audio. They operate the studio equipment (microphones, mixing boards, software) to capture the highest quality sound.","• Select and place microphones to record instruments and vocals.<br>• Operate a digital audio workstation (DAW) like Pro Tools.<br>• ""Mix"" the track: balancing levels, adding effects (reverb, EQ), and polishing the sound.<br>• ""Master"" the final track for distribution.","• Technical mastery of DAWs (Pro Tools, Logic Pro).<br>• Deep understanding of acoustics, signal flow, and audio effects.<br>• Patience and extreme attention to sonic detail."
Performing Arts (Music),A&R Representative,"""Artist & Repertoire."" This person works for a record label and is responsible for scouting, discovering, and signing new musical talent to the label.","• Scout new talent by attending live shows, listening to demos, and monitoring online buzz.<br>• Sign promising artists to recording contracts.<br>• Act as the artist's primary liaison within the record label.<br>• Guide the artist's creative and career development.","• A strong ""ear"" for commercially viable music.<br>• Networking and relationship-building skills.<br>• Negotiation skills.<br>• Deep knowledge of the music industry."
Performing Arts (Music),Tour Manager,"Manages all the logistics for a musical act while they are on tour. They are the ""road boss"" responsible for travel, finances, and scheduling.","• Book all travel, accommodation, and ground transport for the band and crew.<br>• Manage the tour budget and distribute ""per diems"" (daily cash) to the band.<br>• Coordinate with venue managers to ensure all technical and hospitality needs (""riders"") are met.<br>• Ensure the band gets to every show on time.",• Extreme logistical organization and crisis-management skills.<br>• Budgeting and basic accounting skills.<br>• Stamina and ability to work long hours with difficult personalities.
Performing Arts (Music),Music Publisher,"Manages the copyrights for musical compositions (lyrics and melody). They work to get an artist's songs placed in movies, ads, or recorded by other artists, and then collect the royalties.","• Administer the copyright catalog for songwriters.<br>• ""Pitch"" songs to film supervisors, ad agencies, and other artists.<br>• Negotiate synchronization (sync) licenses for media use.<br>• Track, collect, and pay out royalties to the songwriter.",• Strong understanding of music copyright law.<br>• Sales and networking skills.<br>• Meticulous administrative skills.
Media & Production,Animator (3D/2D),"Creates the illusion of motion by sequencing images or digital models. 3D animators work for film/games (Pixar, EA), while 2D animators work on traditional or motion graphics.","• Use software (like Maya, Blender, or Toon Boom Harmony) to animate characters.<br>• Follow storyboards and direction to create character performance and movement.<br>• Manipulate digital models frame-by-frame to convey weight, physics, and emotion.","• Mastery of animation software.<br>• Strong understanding of the 12 principles of animation, physics, and acting.<br>• Patience and attention to detail.<br>• A professional demo reel is mandatory."
Media & Production,Storyboard Artist,"A visual artist who translates a script into a series of comic-book-like panels (a storyboard). This sequence visually plans the film, animation, or commercial, shot by shot.","• Read the script and visualize the action.<br>• Draw quick sketches of key scenes, showing character position, camera angles, and motion.<br>• Collaborate with the director to refine the visual narrative flow.<br>• Ensure the story is clear and the pacing works visually.","• Exceptional and fast drawing skills.<br>• Deep understanding of cinematic language (camera angles, composition, editing).<br>• Storytelling skills.<br>• Portfolio/Reel of storyboard work."
Media & Production,Concept Artist,"A highly skilled designer who creates the initial ""look and feel"" for films, video games, or animations. They design the characters, creatures, vehicles, and environments before they are built in 3D.","• Brainstorm and iterate on dozens of visual ideas (sketches, speed paintings).<br>• Design characters, settings, and props based on the script or game design doc.<br>• Create highly polished ""keyframe"" paintings of important scenes.<br>• Visually solve design problems for the production team.",• Elite drawing and painting skills (digital or traditional).<br>• High level of creativity and imagination.<br>• Expertise in Photoshop.<br>• A stunning professional portfolio is required.
Media & Production,Film Director,"The primary creative force behind a film. They are responsible for making all artistic decisions, guiding the actors' performances, and managing the overall vision of the movie.","• Develop or select a screenplay.<br>• Define the artistic vision and style of the film.<br>• Collaborate with the cinematographer, production designer, and editor.<br>• Direct actors on set to achieve the desired performance.<br>• Oversee the editing process (post-production).","• Strong leadership and communication skills.<br>• A clear artistic vision.<br>• Deep knowledge of storytelling, cinematography, and acting.<br>• A portfolio of directed short films or features (a reel)."
Media & Production,Cinematographer (DP),"The Director of Photography. This artist is responsible for the ""look"" of the film, managing the camera, lighting, and composition of every shot.","• Collaborate with the director to translate the script's mood into a visual style.<br>• Select all cameras, lenses, and filters for the production.<br>• Design the lighting plan for every scene.<br>• Manage the camera and lighting crews during filming.","• Mastery of camera technology and lighting techniques.<br>• A strong ""eye"" for composition and color.<br>• Leadership skills.<br>• A professional demo reel is required."
Media & Production,Video Editor,"Assembles raw video footage, audio, and graphics to create a polished, final product. They are storytellers who use technical skill to shape the pacing, tone, and narrative.","• Import and organize raw footage and media assets.<br>• Cut and sequence footage to create a compelling narrative.<br>• Perform color correction and audio mixing.<br>• Add graphics, titles, and effects.<br>• Export the final video in the required formats.","• Expertise in editing software (Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve).<br>• Strong sense of storytelling, pacing, and rhythm.<br>• Attention to detail.<br>• A professional demo reel is required."
Media & Production,VFX Artist (Visual Effects),"A digital artist who creates or composites photorealistic imagery that would be impossible or too dangerous to film in real life (e.g., explosions, monsters, fantasy environments).","• Integrate computer-generated imagery (CGI) seamlessly into live-action footage.<br>• Specialize in areas like modeling, texturing, lighting, or compositing.<br>• Use software (like Nuke, Maya, Houdini) to create visual effects.<br>• Remove wires, rigs, or unwanted objects from a shot.","• Mastery of specialized VFX software.<br>• A keen eye for photorealism, light, and physics.<br>• Extreme attention to detail.<br>• A professional demo reel showcasing specific skills."
Media & Production,Game Designer,"The primary creative architect of a video game. They design the ""fun,"" creating the rules, systems, story, and player experience of the game.","• Design the core gameplay mechanics, levels, and narrative.<br>• Write the Game Design Document (GDD) to outline the vision.<br>• Script gameplay events and balance game difficulty.<br>• Collaborate with artists and programmers to build the game.",• Creativity and strong analytical skills.<br>• Deep knowledge of game systems and player psychology.<br>• Technical scripting skills.<br>• Portfolio of game projects or mods.
Media & Production,Screenwriter,"The author of the screenplay (script) for a film or television show, creating the characters, dialogue, and plot structure.","• Conceive and outline a story (plot, structure, character arcs).<br>• Write the complete screenplay in industry-standard format.<br>• ""Pitch"" ideas and completed scripts to producers and studios.<br>• Re-write and edit scripts based on producer or director feedback.","• Exceptional writing ability, especially in dialogue and story structure.<br>• Creativity and persistence.<br>• Knowledge of screenplay format.<br>• Portfolio of completed scripts."
Media & Production,Sound Designer (Film/Game),"Responsible for the entire auditory world of a film or game, except the music. This includes creating sound effects, recording dialogue (ADR), and mixing the final soundtrack.","• Create custom sound effects (e.g., footsteps, creature sounds, lasers).<br>• Edit and ""clean"" dialogue recorded on set.<br>• Oversee the recording of Foley (re-created sounds).<br>• Mix all audio elements (dialogue, effects, music) into the final ""soundtrack.""","• Mastery of DAWs (Pro Tools).<br>• Field recording skills.<br>• A creative and technical ""ear"" for sound.<br>• Audio engineering degree or equivalent experience."
Literary Arts,Author / Writer (Fiction),"Creates original works of narrative fiction, such as novels or short stories, for publication and entertainment.","• Conceive, outline, and write long-form original narratives.<br>• Create compelling characters, plot, and worlds.<br>• Edit and revise manuscripts multiple times.<br>• Work with literary agents and editors to publish their work.",• Exceptional creative writing and storytelling skills.<br>• Self-discipline and persistence.<br>• Strong grasp of language and narrative structure.<br>• A portfolio of completed manuscripts.
Literary Arts,Poet,"An artist who uses language, rhythm, and metaphor to create works of poetry. They may publish in journals, perform live (slam poetry), or publish collections (chapbooks).",• Write and revise original poetry.<br>• Curate poems into collections (manuscripts or chapbooks).<br>• Submit work to literary magazines and presses.<br>• Perform poetry at live readings.,"• Mastery of language, metaphor, and rhythm.<br>• A unique creative voice.<br>• Deep knowledge of poetic forms and literary history.<br>• MFA in Creative Writing (Poetry) is common."
Literary Arts,Editor (Acquisitions),"Works for a publishing house and is responsible for finding, acquiring (""buying""), and developing books for publication. They are the author's primary advocate at the publisher.",• Read and evaluate manuscripts submitted by agents.<br>• Champion promising books and bid to acquire publishing rights.<br>• Perform developmental edits (big picture story/structure) with the author.<br>• Manage the book project from manuscript to final publication.,• Strong editorial judgment and commercial instincts.<br>• Negotiation skills.<br>• Deep knowledge of the book market and a specific genre.
Literary Arts,Copy Editor,"A technical editor who reads manuscripts to ensure they are free of errors in grammar, spelling, punctuation, and syntax, and that they adhere to a publisher's style guide.","• Read text line-by-line to find and correct grammatical errors.<br>• Fact-check names, dates, and statements.<br>• Ensure consistent style (e.g., AP, Chicago Manual of Style).<br>• Prepare the manuscript for the proofreader and typesetter.",• Expert-level mastery of grammar and style guides.<br>• Extreme attention to detail.<br>• Ability to focus for long periods.<br>• Editing certificate or relevant experience.
